iter	Passed	Remaining
0	44	4373
1	73	3597
2	102	3324
3	133	3199
4	161	3066
5	186	2928
6	214	2848
7	243	2804
8	278	2815
9	308	2772
10	334	2702
11	369	2707
12	396	2655
13	424	2609
14	449	2547
15	484	2544
16	515	2515
17	544	2478
18	578	2464
19	604	2418
20	632	2377
21	659	2339
22	686	2297
23	723	2290
24	753	2261
25	783	2228
26	807	2182
27	833	2143
28	858	2101
29	886	2067
30	921	2050
31	949	2017
32	981	1993
33	1016	1972
34	1048	1948
35	1084	1928
36	1117	1902
37	1156	1886
38	1186	1855
39	1217	1826
40	1246	1794
41	1274	1760
42	1300	1724
43	1333	1696
44	1364	1667
45	1400	1644
46	1431	1614
47	1464	1586
48	1494	1555
49	1525	1525
50	1558	1497
51	1591	1468
52	1624	1440
53	1651	1407
54	1677	1372
55	1708	1342
56	1737	1310
57	1765	1278
58	1796	1248
59	1831	1221
60	1861	1190
61	1889	1158
62	1919	1127
63	1943	1093
64	1974	1063
65	2002	1031
66	2042	1005
67	2071	974
68	2101	944
69	2131	913
70	2163	883
71	2193	852
72	2221	821
73	2248	790
74	2287	762
75	2314	731
76	2341	699
77	2370	668
78	2416	642
79	2438	609
80	2468	578
81	2498	548
82	2531	518
83	2566	488
84	2596	458
85	2625	427
86	2658	397
87	2691	367
88	2727	337
89	2762	306
90	2796	276
91	2832	246
92	2865	215
93	2895	184
94	2927	154
95	3048	127
96	3081	95
97	3118	63
98	3152	31
99	3187	0
