iter	Passed	Remaining
0	213	21158
1	248	12160
2	279	9026
3	312	7503
4	343	6534
5	372	5836
6	408	5427
7	449	5171
8	479	4851
9	509	4589
10	537	4348
11	566	4153
12	593	3974
13	625	3841
14	659	3738
15	693	3641
16	730	3567
17	762	3471
18	787	3358
19	819	3277
20	850	3199
21	887	3145
22	920	3080
23	953	3020
24	983	2949
25	1012	2882
26	1043	2822
27	1068	2748
28	1106	2708
29	1144	2669
30	1193	2657
31	1226	2605
32	1258	2555
33	1290	2504
34	1332	2474
35	1370	2435
36	1398	2380
37	1428	2330
38	1486	2324
39	1516	2274
40	1547	2226
41	1584	2187
42	1619	2146
43	1650	2101
44	1680	2054
45	1715	2013
46	1749	1972
47	1781	1930
48	1809	1883
49	1839	1839
50	1870	1796
51	1897	1751
52	1923	1705
53	1955	1665
54	1989	1627
55	2022	1589
56	2055	1550
57	2088	1512
58	2118	1472
59	2151	1434
60	2192	1401
61	2222	1361
62	2257	1326
63	2289	1287
64	2321	1249
65	2356	1213
66	2387	1175
67	2428	1142
68	2460	1105
69	2492	1068
70	2526	1031
71	2555	993
72	2582	954
73	2613	918
74	2649	883
75	2685	847
76	2718	811
77	2746	774
78	2782	739
79	2813	703
80	2843	667
81	2881	632
82	2914	597
83	2959	563
84	2985	526
85	3016	491
86	3045	455
87	3074	419
88	3109	384
89	3141	349
90	3169	313
91	3202	278
92	3236	243
93	3267	208
94	3307	174
95	3340	139
96	3373	104
97	3403	69
98	3430	34
99	3463	0
